Biz name	Address	Phone	Email	Website
AJS Painting & Decorating	1325-B Evans Avenue San Francisco, CA 94124	(415) 505-6978	paintingajs@aol.com	http://www.ajspaintingsf.com
Akashic Records Readings	Novato, CA	(415) 846-2412	anniechannels@gmail.com	http://www.anniechannels.com
Akriti Fashions	Mountain View, CA	(650) 646-4224	garima@akritifashions.com	http://www.akritifashions.storenvy.com
Al Norman Mechanical	5146 Third Street San Francisco, CA 94124	(415) 822-5812	alnormanmech@yahoo.com	
Alamo Restoration Carpet and Tile Cleaning	2500 Deer Valley Road #215 San Rafael, CA 94903	(415) 858-8231	alamorestoration@yahoo.com	http://www.alamorestoration.com
Alchemilla	1131 24th Street Oakland, CA 94607	(510) 689-6658	jen.lorang@gmail.com	http://www.etsy.com/shop/jenlorang
Ale's Soup	132 Mission St. San Francisco, CA 94107	(415) 577-3749	alejandra.alvarado10@gmail.com	http://www.facebook.com/AlesSoups
Alex & Son Building Maintenance		(650) 201-1093		
Alexa Sockol Photography	Belmont, CA	(650) 678-3424	alexasockol@gmail.com	http://www.alexasockol.com
Alfajotes Narciso	3288 21st Street #96 San Francisco, CA 94110	(415) 225-0363	alfajoresnarciso@gmail.com	http://www.alfajoresnarciso.com
Ali Golden	482B 49TH STREET Oakland, CA 94609	(510) 904-4556	info@aligolden.com	http://www.aligolden.com
Alice T. Chan Interior Design	Fremont, CA	(510) 745-0559	info@alicetchan.com	http://www.alicetchan.com
Alicia Van Fleteren Jewelry	951 Old Country Road #275 Belmont, CA 94002	(877) 284-2283	alicia@aliciavf.com	http://www.aliciavf.com
Alison Leigh Love Coach	870 Market Street #653 San Francisco, CA 94102	(415) 377-9851	askalisonleigh@gmail.com	http://www.alisonleigh.net
Alissa Gibbins Pilates	657 Oakland Ave Oakland, CA 94611	(510) 908-1098	alissa@movewellwithin.com	http://www.movewellwithin.com
All About You Caregiving	188 High Street Pacheco, CA 94553	(925) 698-6312	starlaballantine@yahoo.com	http://www.allaboutyoucaregiving.com
All Creatures Healing Network Pet Care	San Francisco, CA	(415) 504-7332	allcreatureshealing@gmail.com	http://www.allcreatureshealingnetwork.com
All Good Pizza	1605 Jerrold Avenue San Francisco, CA 94124	(415) 933-9384		http://www.allgoodpizza.com
All Things Simple	1511 Sycamore Ave Hercules, CA 94547	(510) 685-5938	info@all-things-simple.com	http://www.all-things-simple.com
Allande USA			maggieparkinson@allandeusa.com	
Allison Bliss Consulting	201 Third Street #302 Oakland, CA 94607	(510) 879-7600	abliss@allisonbliss.com	http://www.allisonbliss.com
Allison Leigh Psychotherapy	870 Market St #653 San Francisco, CA 94102	(415) 377-9851	askalisonleigh@gmail.com	http://www.alisonleigh.net/
Allure Skin Studio	1512 Webster Street, Suite A Alameda, CA	(510) 653-3355	vita@allureskinstudio.com	http://www.allureskinstudio.com/
Ally Senior Care	PO Box 1438 Shafter, CA 93263	(510) 258-9238	pamahuntley@hotmail.com	http://www.allyinhomecare.com/
Alma's Cutting Edge	3073 Jefferson St Napa, CA 94558	(530) 255-4166		http://www.almascuttingedge.com
Alouba	2325 83rd Avenue Oakland, CA 94605		smalary@gmail.com	http://www.aloubaarts.com
Altana Marie Jewelry			altanamarie@gmail.com	http://www.etsy.com/shop/AltanaMarie
Amaranth Personal Chef Service	815 O' Farrell  San Francisco, CA 94122	(415) 652-0195	lisa@amaranth-sf.com	http://www.amaranth-sf.com
Amaru Wellness Center	568 Monterrey Blvd San Francisco, CA 94127	(415) 710-4537	susana@amaruwellness.com	http://www.amaruwellness.com
American Cupcake	1919 Union Street San Francisco, CA 94123	(415) 896-4217	xoxo@americancupcake.com	http://www.americancupcake.com
Americava Wines LLC	178 Valencia Way Windsor, CA 95492	(707) 837-5284	americavawines@yahoo.com	http://www.yelp.com/biz/americava-wines-windsor
Amy Faust Jewelry	1706 Church Street San Francisco, CA 94131	(415) 452-9070	amyfaust@earthlink.net	http://www.amyfaust.com
Amy Faust,Bay Area Health Coaching	4096 Piedmont Ave #129 Oakland, CA 94611	(415) 452-9070	amy@amyfaust.com	http://www.amy-faust.healthcoach.integrativenut...
Amy O'Connell Jewelry	Oakland, CA	(510) 336-0185	lapidaryart@yahoo.com	http://www.lapidaryart.com
Amy the Organizer	Post Office Box 50 San Geronimo, CA 94963	(415) 237-1968	amy@amytheorganizer.com	http://www.amytheorganizer.com
Amy Whelan Stylist	PO BOX 370 San Francisco, CA 94956	(415) 663-8226	amy.whelan6@gmail.com	http://www.amywhelanstylist.com
An Eye For It Productions	4520 Frairbarn Avenue Oakland, CA 94619	(435) 513-5631	breezy_77@hotmail.com	http://www.asheyeberlein.com
Ana's Market	105 Broad Street San Francisco, CA 94112	(415) 535-9085	thelmatalavera@icloud.com	http://www.yelp.com/biz/anas-market-san-francisco
Ancestral Apothecary	3798 Grand Ave Oakland, CA 94610	(510) 541-2715	ancestralapothecary@gmail.com	http://www.ancestralapothecary.com/
Anchovy			giedrekose@gmail.com	http://www.fromAnchovy.com
Andrea Godard Marketing Services	14944 McDonough Heights Road Healdsburg, CA 95448	(707) 293-3731	andrea@daedalushouse.com	http://www.andreagodard.com
Angel's Bridal	173 Willow St San Jose, CA 95110	(408) 999-0980		http://www.angelsbridal.net
Angel's Tile & Marble	1307 Scott Street Petaluma, CA 94954	(415) 261-8300	info@angelsmarbleandtile.com	http://www.angelstileandmarble.com
Angela Scrivani Photography / Scrivani Photo	416 26th Street Oakland, CA 94612	(415) 640-4967	angelascrivani@gmail.com	http://www.angelascrivani.com
Angelique Catallo Massage Therapist and Health Educator	24 Modoc Place Novato, CA 94947	(415) 706-1811	angeliquecatallo@gmail.com	http://www.angeliquecatallo.com
Angelique Interiors	465 Barneveld Avenue San Francisco, CA 94124	(415) 553-7117	angelique@angeliqueinteriors.com	http://www.angeliqueinteriors.com
Anger Management  Institute	247 4th St. #208 Oakland, CA 94607	(510) 444-2362	aminstitute@gmail.com	http://www.angerinstitute.net/
Angie Wilson Studio	925 E 28th Street Oakland, CA 94610	(415) 794-8585	angiewilson18@yahoo.com	http://www.angiewilson.org
Angles and Archs Clothing	San Francisco, CA			http://www.anglesandarcs.bigcartel.com
Animal Chiropractic - Amy Powell, DC	211 White Oak Circle Petaluma, CA 94952	(707) 365-5173	animalchiropractic@live.com	http://www.animalchiropractic.us/Pages/default....
Anita Bowen Photography		(415) 519-5457	click@anitabowen.com	http://www.anitabowen.com
Annie the Baker	Box 3051 Yountville, CA 94599	(707) 812-5566	anniethebaker@yahoo.com	http://www.anniethebaker.com/
Anthelma's Galeria,Vertidus de Novia y Quinceras	8499 Old Redwood Hwy Suite 112 Windsor, CA 95942	(707) 836-0370	anthelmasace@yahoo.com	http://www.anthelmasgaleria.net/
Apex Driving School	1904 Franklin Street Oakland, CA 94612	(510) 444-8900	info@apexdrivingschool.com	http://www.apexdrivingschool.com
Apocalypse Vintage	Berkeley, CA			http://www.etsy.com/people/apocalypsevintage#
April Howard	886 Pine Street Oakland, CA 94607	(718) 909-4919	howard.april@gmail.com	http://www.aprilhowardesign.com/
Arellano Gardening & Landscaping	East Palo Alto, CA	(650) 771-1070	arellanosjorge29@yahoo.com	
Ariflower Images	P.0. Box 595 Inverness, CA 94937	(415) 283-9981	ariana@flowerimages.com	http://www.ariflowerimages.blogspot.com/
Artdeezine Branding & Marketing Design	San Francisco, CA	(415) 828-1618	info@artdeezine.com	http://www.artdeezine.com
ARTdeezine LLC	3150 18th Street San Francisco, CA 94110	(415) 828-1618	deedee@artdeezine.com	http://www.artdeezine.com
Artful Gentlemen	1687 Market Street San Francisco, CA 94103	(415) 527-7611	secretagents@artfulgentleman.com	http://www.artfulgentleman.com
ASA Academy and Community Science Center	561 Boden Way Oakland, CA 4610	(510) 708-5340		http://www.facebook.com/pages/ASA-Academy-Commu...
ASHA	214 Lisbon Street San Francisco, CA 94112	(415) 816-1808	angel@ashasf.com	http://www.new.ashanet.org/
Ashley H. Rhodes Company	376 Bradford Street San Francisco, CA 94110	(415) 643-3038	AshleyH_Rhodes@comcast.net	http://www.yelp.com/biz/ashley-h-rhodes-company...
At Your Service Handyman	1325-B Evans Avenue San Francisco, CA 94124	(415) 724-1558	atyourservicehandymanco@yahoo.com	
Attention Dynamics	Berkeley, CA		Glenn@attentiondynamics.org	http://www.attentiondynamics.org
Au Purr	77 Van Ness San Francisco, CA 94102	(415) 439-9553	jille@aupurrsf.com	http://www.aupurrsf.com
Auntie April's	4618 Third Street San Francisco, CA 94124	(415) 643-4983	auntieaprilsonThird@gmail.com	http://www.auntieaprils.com
Aurora Colors	1252 Pleasant Hill Rd Sebastopol, CA 95472	(707) 799-7099	vangie@auroracolors.com	http://www.auroracolors.com
Aurora Meneghello Productions	1101 Capp Street #4 San Francisco, CA 94110	(415) 948-7986	aurora@aurorameneghello.com	http://www.aurorameneghello.com
Avalon Construction		(415) 822-0822	avalonconst@gmail.com	
Avava Systems	888 H Avenue San Francisco, CA 94130	(510) 755-8789		http://www.avavasystems.com
Avital Tours	San Francisco, CA	(415) 355-4044	info@avitaltours.com	http://www.avitaltours.com
Ayla Beauty	1825 Bush Street San Francisco, CA 94109	(415) 520-7320	dara@aylabeauty.com	http://www.aylabeauty.com
Ayuda Global	81 Corte Lenosa  Greenbrae, CA 94904	(415) 925-9846	kalomia@comcast.net	http://www.ayudaglobal.com
Azalina's Catering	2948 Folsom Street San Francisco, CA 94110	(415) 407-2038	azalina@azalinas.com	http://www.azalinas.com/#!catering/c1awl
B Sharp Accessories - Glass, etc	160 S Linden Ave #212 South San Francisco, CA 94080	(650) 275-2785	bsharp@bsharpart.com	http://www.bsharpart.com
Back 9 Pilates	Oakland, CA			http://www.barbarahoffer.com
Barbara Boissevain Photography	San Francisco, CA	(415) 337-1378		http://www.barbaraboissevain.com
Barrios Painting		(415) 424-2470	ebarrios4@yahoo.com	http://www.barriospainting.com
Barry Muniz Photography	San Francisco, CA	(415) 260-3714	bmuniz@sbcglobal.net	http://www.barrymuniz.com
Barry Shapiro & Associates		(510) 339-9861	shapirobar@earthlink.net	
Basel B	San Francisco, CA	(415) 722-1781	baselblnc@gmail.com	
Basic Green Cleaning	548 Market Street San Francisco, CA 94104	(415) 814-3535	BasicGreenSF@gmail.com	http://www.basicgreensf.com
Batch Baking		(646) 642-7097	eguzzardi@gmail.com	http://www.yelp.com/biz/batch-baking-san-franci...
Bawdy Story Telling	1001 Key Avenue San Francisco, CA 94124	(415) 637-6307	dixie@bawdystorytelling.com	http://www.bawdystorytelling.com
Bay Area Academy of Music	5460 Sunol Blvd #1 Pleasanton, CA 94566	(925) 596-3019		http://www.bayareaacademyormusic.com
Bay Area Medical Academy	530 Bush Street #201 San Francisco, CA 94108	(415) 217-0077	info@bamasf.com	http://www.bamasf.com
Bay Thread	1826 Clement Avenue #210 Alameda, CA 94501	(510) 338-7787	eloisa@baythread.com	http://www.baythread.com
Bayview Cyclery	4634 Third Street San Francisco, CA 94124	(415) 712-4905	bayviewcyclery@gmail.com	http://www.yelp.com/biz/bayview-cyclery-san-fra...
Be Beautiful Everyday Boutique	2589 Middlefield Road Redwood City, CA 94063	(650) 576-3237	imagineistobe@yahoo.com	
Be Hitched Event Planning & Design	Oakland, CA		rebecca@be-hitched.com	http://www.be-hitched.com
Beautiful You	San Francisco, CA	(415) 261-5337	info@beautifulyousf.com	http://www.beautifulyousf.com
Beauty's Bagels	3838 Telegraph Avenue Oakland, CA 94609	(510) 788-6098	blake@beautysbagelshop.com	http://www.beautysbagelshop.com
BeBeBar Restaurant	3809 18th st at Church st San Francisco, CA 94114	(415) 203-8406	celinhasf@hotmail.com	http://www.bebebar.com
Becca Henry Photography	4800 Park Blvd Oakland, CA 94602	(415) 710-9220	becca.henry@gmail.com	http://www.beccahenryphotography.com
Bee Happy Candles	307 Main Street Winters, CA 95694	(530) 795-9873	Beehappycandlesemail@gmail.com	http://www.beehappycandles.net
Beet Generation Juice	1067 Dolores St. San Francisco, CA 94110	(415) 990-6370	coachjoanie987@gmail.com	http://www.facebook.com/BeetGeneration
Believe It!	55 Carnegie Square San Jose, CA 95116	(408) 202-0058	lynetta@believeitcoach.com	http://www.believeitcoach.com
Believe Life Coach	San Rafael, CA	(415) 895-0536	lifecoachbelieve@gmail.com	http://www.believelifecoach.com
Belinda Chocolates	San Francisco, CA	(415) 447-7939	info@belindachocolates.com	http://www.belindachocolates.com
Bell's Dry Cleaning & Laundry	4726 Third Street San Francisco, CA 94124	(415) 282-1954		http://www.yelp.com/biz/bells-dry-cleaning-and-...
Benny Gold: Men's Streetwear	3169 16TH STREET San Francisco, CA	(415) 814-3940	hiromi@bennygold.com	http://www.bennygold.com/
Berkeley Gardens	2701 Maxwell Avenue Oakland, CA (510)612-1	(510) 395-1670	alyadavidman@gmail.com	http://www.berkeleygardens.com/
Bernal Cutlery		(415) 355 0773	info@bernalcutlery.com	http://www.bernalcutlery.com
Better Living Through Sewing	336 40th Street, Apt. #3 Oakland, CA 94609	(510) 985-0997	info@betterlivingthroughsewing.com	http://www.bitsew.com
Big Mouth Productions	San Francisco, CA	(510) 491-3703	BigMouthProductionsSF@gmail.com	http://www.bigmouthproductionssf.com
Binx Garage	683  32nd Street Oakland, CA 94609	(510) 992-9926	djtofu3@gmail.com	http://www.binxgarage.com
Bitmagic.net	450 South Buena Vista Avenue San Jose, CA 95126	(408) 472-1339	salesgirl@bitmagic.net	http://bitmagic.net
Black Jet Baking Company	1750 Cesar Chavez Street, Unit E, San Francisco, CA 94124	(415) 845-9925	gillian@blackjetbakery.com	http://www.blackjetbakingco.com
Blanca's Bridal	6572 Mission Street Daly City, CA 94014	(650) 991-3495		
Blanca's Hair Design	2435 Mission Street San Francisco, CA 94110	(415) 571-1473	blankitalabrada@hotmail.com	http://www.yelp.com/biz/blancas-hair-design-san...
Bliss Fitness & Health			blissfithealth@gmail.com	http://www.meetup.com/Bliss-Fitness-and-Health/
Blu Amber Interior Design	San Francisco, CA	(415) 697-6023	amber@bluamberdesigns.com	http://www.bluamberdesigns.com
Blu Penny Cindy Ann Ganaden	Oakland, CA	(415) 420-4430	cindyann@blupenny.com	http://www.blupenny.com
Blue Chair Fruit Company	Oakland, CA	(510) 654-BLUE	rachel@bluechairfruit.com	http://www.bluechairfruit.com
Blue Lotus Films	133 17th St Oakland, CA 94612	(510) 329-5475	sarah@bluelotusfilms.net	http://www.bluelotusfilms.net
Blue Oak Brewing Co.	San Carlos, CA	(650) 619-3781	blueoakbrewing@gmail.com	http://www.blueoakbrewing.com
Blue Stars Admissions Consulting		(415) 426-9444	drm@bluestarsadmissionsconsulting.com	http://www.bluestarsadmissionsconsulting.com
Blue Victrola Tea	2904 Myrtle Street Oakland, CA 94608	(858) 349-3505	awhitemoonshot@gmail.com	http://www.bluevictrolatea.wix.com/home
Bluefish Web Studio	PO Box 1243 Alameda, CA 94501	(510) 688-6737	rd18262@gmail.com	http://www.bluefishwebstudio.com
Bode Office Solutions	4265 Clayton Road Concord, CA 94521	(925) 270-5458	gayle@bodeoffice.com	http://www.bodeoffice.com
Body Image Mastery, LLC	100 Corte Oriental #5 Greenbrae, CA 94904	(415) 464-1234	laura@onepinky.com	
Body Learning	211 Gough Street San Francisco, CA 94102	(415) 385-2233	rebecca@bodylearning.net	http://www.bodylearning.net/
Body, Soul and Spirit Salon	222 Leland Ave, San Francisco, CA, United States	(415) 333-7261		http://www.bodysoulandspiritsalon.com
Bonacker Associates Architecture and Interior Planning	212 Sutter Street San Francisco, CA 94108	(415) 434-4300		http://www.yelp.com/biz/bonacker-associates-arc...
Bonilla Construction	312 Winchester Street Daly City, CA 94014	(415) 596-0349	bonilla1cc@yahoo.com	http://www.bonillaconstruction.net
Boussole Financial Solutions	PO Box 29786 Oakland, CA 94604	(510) 502-5816	chandrabrown@comcast.net	http://www.boussolefinancialsolutions.com/
Box Cubed		(415) 552-5580	mitch.Vaughn@gmail.com; mitch@boxcubed.org	http://www.boxcubed.org
Box Dog Bikes	494 14th Street San Francisco, CA 94103	(415) 431-9627		http://www.boxdogbikes-3.myshopify.com
BPE Global	139 Pierce Street San Francisco, CA 94117	(877) 264-3863	beth@bpeglobal.com	http://www.bpeglobal.com
Bravissimo Dance Studio	1314 Old County Road Belmont, CA 94002	(650) 861-0607	maryebravo@yahoo.com	http://www.bravissimodancestudio.com
Brazilian Coffee House Restaurant	12221 San Pablo Avenue Richmond, CA 94805	(510) 237-9000		http://www.brazilianrestaurantgoiano.com
Bread Srsly	1026 Cole st San Francisco, CA 94117	(646) 244-9553	sadie@breadsrsly.com	http://www.breadsrsly.com/
Brenda Scarborough Consulting	Kentfield, CA	(415) 599-6444	bscarborough@gmail.com	
Brenda's French Soul Food Restaurant	652 Polk Street San Francisco, CA 94102	(415) 345-8100	brendas@frenchsoulfood.com	http://www.frenchsoulfood.com
Brian Wallace Chocolatier			me@brianwallace.com	http://www.brianwallace.com/
Bridgette McKenna PhD	275 5th Street San Francisco, CA 94103	(415) 989-5952	bridget.mckenna@sbcglobal.net	http://www.drbridgetmckennaphd.com
Bright A Beauty	216 Rose Street San Francisco, CA 94102	(415) 431-7767	pepitte@yahoo.com	http://www.facebook.com/pages/Bright-and-Beauty...
Brilliant Seeds	275 5th Street #310 San Francisco, CA 94103	(415) 857-3957	isabelle@brilliantseeds.com	http://www.brilliantseeds.com
Brittany M. Powell Photography	100 College Ave San Francisco, CA 94112	(510) 701-2924	brittany@brittanympowell.com	http://www.brittanympowell.com
Brunch with Joy			brunchwithjoy@gmail.com	http://www.brunchwithjoy.com/
Bryr Studio	San Francisco, CA		bryrstudio@gmail.com	http://www.bryrstudio.com
Bubble and Bites	1115 Third Street San Rafael, CA 94901	(415) 265-4112	spectordenise@comcast.com	
Bueno Eats	3307 E. 23rd Street Oakland, CA 94601	(510) 507-1623	buenoeatery@gmail.com	http://www.buenoeats.com
Bunny's Golden Brittle	3065 Richmond Blvc Oakland, CA 94611	(510) 763-2237	SLJbunny@att.net	http://www.cottagefoods.org/cfo/bunnys-golden-b...
Burn Water	San Francisco, CA	(800) 373-7855	Sales@burnwater.com	http://www.burnwater.com
Butterfly Life Health Club	1379 Linda Mar Shopping Center Pacifica, CA 94044	(650) 359-5211		http://www.yelp.com/biz/butterfly-life-pacifica
Buzzworthy Events SF	1301 York Street  San Francisco, CA 94110	(415) 246-4729	events@buzzworthysf.com	http://www.buzzworthysf.com
By Madeline Trait Designs	San Francisco, CA	(805) 441-0856	madeline@madelinetrait.com	http://www.madelinetrait.com
Bylee Designs	310 49th St. Oakland, CA 94609	(510) 547-1443	byleedesign@sbcglobal.net	http://www.byleedesign.com/
Byrd Song Productions	Oakland, CA	(415) 606-5768		http://www.byrdsongproductions.com
CAD Simplified	470 Third Street, Suite 206 San Francisco, CA 94107	(415) 260-7860	zak@cadsimplified.com,	http://www.cadsimplified.com
Cakewalk Creative	275 5th Street San Francisco, CA 94103	(415) 348-6309	dave.zapata@cakewalksf.com	http://www.cakewalksf.com
Calderon's Delivery Service	East Palo Alto, CA	(408) 665-9847	calderonshdser@gmail.com	
Calibur SF	68 West Portal Avenue San Francisco, CA 94127	(415) 742-4931	calibursf@gmail.com	http://www.calibursf.com
Calliope Dance Studio	1414 Castro Street San Francisco, CA 94114	(415) 637-4982	move@dancecalliope.com	http://www.calliopedance.com
Candlefoot Start to Finish Video Production	343  21st Ave San Francisco, CA 94121	(415) 596-7157	deb@candlefoot.net	http://www.candlefoot.net
Cantera Construction	1325B Evans Avenue San Francisco, CA 94014	(510) 205-6716	noevc@hotmail.com	
Carey & Co.		(415) 773-0773	alice@careyco.com	http://www.careyco.com
Carmel Blue Baby Steps	1418 Grant Avenue San Francisco, CA 94133	(510) 703-9598	carmelbluesky@gmail.com	http://www.carmelblue.com
Carmen Beauty Salon	757 El Camino Real Redwood City, CA 94063	(650) 000-0000		http://www.yelp.com/biz/carmens-beauty-salon-re...
Carney's Plastering	1325-B Evans Avenue San Francisco, CA 94124	(415) 240-9402	wilcarneyplastering@gmail.com	
Carol Fitzgerald Wedding Planning	Palo Alto, CA	(650) 722-1292	weddings@carolfitzgerald.com	http://www.carolfitzgerald.com
Carole Wang Green Fashion	Fremont, CA	(408) 985-0509	sales@carolewang.com	http://www.carolewang.com
Carolyn Price Educational Therapist	3432 Adell Court Oakland, CA 94602	(510) 465-5229	carolyn.m.price@gmail.com	http://ww.carolynprice.org
Carolyn Tillie Designs	PO Box 3673 Half Moon Bay, CA 94019	(707) 688-0297	wise@carolyntillie.com	http://www.carolyntillie.com
Catalyst Arts	238 Ridgeway Avenue Oakland, CA 94611	(415) 717-2372	audettesophia@yahoo.com	http://www.catalystarts.com
Catered to You	1711 Telegraph Avenue Oakland, CA 94612	(510) 208-2522	cateredtoyou@att.net	http://www.cateredtoyou.net
Catherine Clark Gallery	248 Utah Street San Francisco, CA 94103	(415) 399-1439	cc@cclarkgallery.com	http://www.cclarkgallery.com
Catherine Montalbo Gentelman's Personal Stylist	Oakland, CA	(415) 572-8875	info@catherinemontalbo.com	http://www.catherinemontalbo.com
Catherine Scott Flowers	201 Wilking Way Sonoma, CA 95476	(415) 453-6354	catherinescott@sbcglobal.net	http://www.catherinescottflowers.com
Cattermole Consulting Inc.	248 Linden Lane San Rafael, CA 94901	(415) 412-8406	amanda@cattermoleconsulting.com	http://www.cattermoleconsulting.com
cawiji studios	PO Box 225 Sebastopol, CA 95473	(707) 861-0715	jill@cawiji.com	http://cawiji.com
Celeste Jewel Howell	301 Jefferson Street #M Oakland, CA 94607	(510) 206-2797		http://www.studiocjh.com
Celi Group Realty	38930 Blacow Rd Fremont, CA 94536	(925) 325-9117	lien@celigrouprealty.com	http://www.celigrouprealty.com
Celia's	1340 Blake Street Berkeley, CA 94702	(510) 705-1194	JoseCipres03@aol.com	http://www.celiasberkeley.com
Center for Integrative Trauma Healing	26th & Church Streets San Francisco, CA 94131	(415) 294-1077	maryscheibfnp@gmail.com	http://www.maryscheibfnp.com/
Chain Chain Chain Marin County Bike Tour	Mill Valley, CA	(415) 302-2462	sara@chainbiketours.com	http://www.chainbiketours.com
Chantelle Lorenz Massage Therapist	630 Mariposa Avenue Oakland, CA 94610	(650) 288-9589	chantellelorenz@gmail.com	http://www.chantellelorenz.massagetherapy.com/
Checked and Balanced Bookkeeping Service		(503) 686-1089	patriciagreenrop@yahoo.com	http://www.yelp.com/biz/checked-and-balanced-bo...
Chelsea Walton Film and Video Editor	Emeryville, CA	(415) 625-3348	middust@chelseawalton.com	http://www.chelseawalton.com
Chez-Ellen Personal Chef Services	50 Nova Drive Oakland, CA 94610	(510) 913-3079	ellen@chez-ellen.com	http://www.chez-ellen.com/
Chic Moderne	P.O. Box 99015 Emeryville, CA 94662	(415) 533-7483	pattitang@yahoo.com	http://www.etsy.com/shop/ChicModerne
Chicks and Love	1755 Locust St Walnut Creek, CA 94596		Chefkelliejoe@gmail.com	http://www.chicksandlove.com
Chile Lindo	2944 16th Street San Francisco, CA 94103	(415) 621-6108	chilelindosf@gmail.com	http://www.chilelindo.com
Chile Lindo	350 San Carlos St. San Francisco, CA 94110	(415) 368-3328	chilelindosf@gmail.com	http://www.chilelindo.com
Chocolate Couture	1115 Third Street San Rafael, CA 94901	(415) 306-4796	christineparini@me.com	
Ciao Cristo Vineyards	782 Contada Circle Danville, CA 94526	(925) 838-8110	homes@pattyballard.com	http://www.ciaocristo.com
Circadian Studios Jewelry Design		(415) 235-1934	deannaabney@sbcglobal.net	http://www.circadianstudios.com/
Citizen's Band Restaurant	1198 Folsom Street San Francisco, CA 94103	(415) 556-4901		http://www.citizensbandsf.com
City Home Construction	San Francisco, CA	(415) 760-3457	gchansfo@yahoo.com	
City Racquet Shop	1798 San Jose Avenue San Francisco, CA 94112	(415) 841-0580	marla@cityracquetshop.com	http://www.cityracquetshop.com
CK Interiors	1325 Evans Avenue San Francisco, CA 94124	(925) 497-4341, (510) 393-7292	kenckinteriors@yahoo.com	
Claddagh Yarns	1506 Walnut Street Berkeley, CA 94709	(415) 316-4276	amaferna@gmail.com	http://www.claddaghyarns.com/
Clairesquares	San Francisco, CA	(415) 722-2080	claire@clairesquares.com	http://www.clairesquares.com
